method,stage,stage_order,x,scientificName,species,sp_persist
pipe,2,2,9.55800057489893,Buteo brachypterus,Buteo_brachypterus,0.978835850536993
pipe,2,2,9.55800057489893,Calicalicus madagascariensis,Calicalicus_madagascariensis,1
pipe,2,2,9.55800057489893,Cheirogaleus major,Cheirogaleus_major,1
pipe,2,2,9.55800057489893,Cheirogaleus medius,Cheirogaleus_medius,1
pipe,2,2,9.55800057489893,Cinnyris notatus,Cinnyris_notatus,1
pipe,2,2,9.55800057489893,Coracopsis nigra,Coracopsis_nigra,0.999999960330695
pipe,2,2,9.55800057489893,Corythornis madagascariensis,Corythornis_madagascariensis,0.99999588913318
pipe,2,2,9.55800057489893,Coua coquereli,Coua_coquereli,0.999999999960114
pipe,2,2,9.55800057489893,Coua cristata,Coua_cristata,1
pipe,2,2,9.55800057489893,Coua cursor,Coua_cursor,0.99999979966988
pipe,2,2,9.55800057489893,Coua gigas,Coua_gigas,0.999998183458677
pipe,2,2,9.55800057489893,Coua serriana,Coua_serriana,0.999148451070788
pipe,2,2,9.55800057489893,Cryptoprocta ferox,Cryptoprocta_ferox,0.287143674795883
pipe,2,2,9.55800057489893,Cyanolanius madagascarinus,Cyanolanius_madagascarinus,1
pipe,2,2,9.55800057489893,Echinops telfairi,Echinops_telfairi,1
pipe,2,2,9.55800057489893,Eliurus majori,Eliurus_majori,1
pipe,2,2,9.55800057489893,Eliurus minor,Eliurus_minor,1
pipe,2,2,9.55800057489893,Eliurus myoxinus,Eliurus_myoxinus,1
pipe,2,2,9.55800057489893,Eliurus tanala,Eliurus_tanala,1
pipe,2,2,9.55800057489893,Eliurus webbi,Eliurus_webbi,1
pipe,2,2,9.55800057489893,Eremopterix hova,Eremopterix_hova,1
pipe,2,2,9.55800057489893,Eulemur albifrons,Eulemur_albifrons,1
pipe,2,2,9.55800057489893,Eulemur cinereiceps,Eulemur_cinereiceps,1
pipe,2,2,9.55800057489893,Eulemur collaris,Eulemur_collaris,1
pipe,2,2,9.55800057489893,Eulemur coronatus,Eulemur_coronatus,1
pipe,2,2,9.55800057489893,Eulemur fulvus,Eulemur_fulvus,1
pipe,2,2,9.55800057489893,Eulemur rubriventer,Eulemur_rubriventer,1
pipe,2,2,9.55800057489893,Eulemur rufus,Eulemur_rufus,1
pipe,2,2,9.55800057489893,Eulemur sanfordi,Eulemur_sanfordi,1
pipe,2,2,9.55800057489893,Fossa fossana,Fossa_fossana,0.997345959809717
pipe,2,2,9.55800057489893,Foudia madagascariensis,Foudia_madagascariensis,1
pipe,2,2,9.55800057489893,Foudia omissa,Foudia_omissa,1
pipe,2,2,9.55800057489893,Gactornis enarratus,Gactornis_enarratus,0.999999999998201
pipe,2,2,9.55800057489893,Galidia elegans,Galidia_elegans,0.996278628661804
pipe,2,2,9.55800057489893,Gymnuromys roberti,Gymnuromys_roberti,1
pipe,2,2,9.55800057489893,Hapalemur alaotrensis,Hapalemur_alaotrensis,1
pipe,2,2,9.55800057489893,Hapalemur griseus,Hapalemur_griseus,1
pipe,2,2,9.55800057489893,Hartlaubius auratus,Hartlaubius_auratus,1
pipe,2,2,9.55800057489893,Hemicentetes semispinosus,Hemicentetes_semispinosus,1
pipe,2,2,9.55800057489893,Hypositta corallirostris,Hypositta_corallirostris,0.999999999999946
